46,757,38,2
46,872,1440,3
46,981,1339,2
46,1163,545,3
46,1700,1447,2
47,99,1273,1
47,290,1341,1
47,507,252,2
47,657,1388,5
47,739,1303,1
47,833,460,3
47,1119,138,1
47,1788,1476,4
48,107,470,1
48,302,1394,1
48,507,902,3
48,673,443,4
48,895,1429,3
48,1078,1261,2
48,1652,1332,4
49,22,1312,1
49,123,1459,5
49,245,458,3
49,693,199,5
49,847,238,5
49,1069,1000,5
49,1169,327,5
49,1615,749,4
50,97,1368,3
50,601,1419,5
50,841,1155,1
50,1077,1402,5
50,1482,1215,1
50,1639,1359,5
50,1773,1439,5
51,106,1403,1
51,441,1270,1
51,800,1419,4
51,982,1346,1
51,1184,1356,1
51,1563,1265,1
51,1780,1376,1
51,1880,1111,1
52,67,1002,1
52,209,1330,3
52,603,233,1
52,672,134,5
52,728,505,5
52,857,6,5
52,1167,1246,5
53,21,458,4
53,231,158,1
53,508,1320,1
53,644,334,1
53,810,1321,3
53,1120,153,4
53,1569,144,1
53,1643,977,1
54,74,1036,5
54,245,306,4
54,502,194,5
54,756,528,4
54,822,1320,5
54,935,367,4
54,1785,142,5
55,125,1311,1
55,269,1883,1
55,889,176,2
55,1047,1356,1
55,1220,1884,1
55,1598,1544,2
55,1765,1254,2
55,1851,1793,2
56,57,1414,1
56,184,882,2
56,284,3,1
56,414,443,1
56,670,155,1
56,821,470,2
56,1016,327,4
57,28,1461,2
57,110,658,3
57,524,1375,1
57,627,198,4
57,666,238,3
57,797,844,1
57,943,1190,4
57,1147,1173,2
58,164,993,2
58,351,135,2
58,492,1301,1
58,559,505,2
58,774,449,1
58,1006,950,1
58,1503,329,1
59,177,850,1
59,596,452,1
59,820,1345,1
59,1060,1432,1
59,1212,543,1
59,1516,1310,2
59,1688,1110,1
59,1729,16,1
60,225,1287,3
60,395,1266,1
60,492,1527,1
60,599,977,1
60,682,1958,1
60,951,320,5
60,1741,1421,1
61,23,882,4
61,264,254,2
61,503,558,1
61,561,722,2
61,854,58,3
61,991,1296,1
61,1499,1337,1
61,1806,977,2
62,293,647,2
62,465,234,3
62,774,1173,4
62,939,1547,3
62,1490,1329,2
62,1635,233,3
62,1804,956,2
63,26,1251,4
63,200,1430,3
63,928,13,3
63,1473,1402,4
63,1566,590,2
63,1748,1091,5
63,1811,1317,2
63,1973,1432,5
64,269,1434,1
64,530,383,1
64,892,1637,2
64,1473,1433,1
64,1552,1373,1
64,1659,1318,4
64,1774,1907,1
65,46,1274,2
65,720,1281,4
65,972,1360,1
65,1061,849,5
65,1211,1109,2
65,1537,1362,1
65,1731,1339,2
65,1822,1905,1
66,174,1339,1
66,404,374,3
66,601,1423,3
66,987,1677,1
66,1235,1904,3
66,1599,1154,2
66,1886,1900,1
67,115,1966,3
67,386,1440,2
67,767,1381,2
67,888,469,3
67,1130,260,3
67,1682,1535,2
67,1850,1967,3
67,1889,1468,3
68,375,381,1
68,514,1543,2
68,784,1264,1
68,982,1345,1
68,1197,260,1
68,1705,1310,1
68,1811,1465,3
69,76,1258,3
69,274,221,3
69,517,1967,2
69,760,1465,4
69,981,1415,1
69,1080,1403,1
69,1554,1275,2
69,1748,1161,2
70,110,1320,5
70,293,138,3
70,413,1389,5
70,632,1470,4
70,905,1246,3
70,966,136,5
70,1526,1912,4
71,48,748,3
71,291,1302,3
71,510,1341,2
71,638,1958,3
71,798,1042,3
71,1075,1445,4
71,1641,457,4
71,1829,777,3
72,191,1066,1
72,523,1417,2
72,823,171,1
72,976,1406,3
72,1128,1294,1
72,1210,1166,4
72,1639,469,1
73,88,751,3
73,251,135,3
73,394,1911,3
73,554,1038,3
73,747,1246,3
73,1068,1112,3
73,1507,1528,3
73,1946,1325,3
74,240,1375,1
74,366,1299,1
74,570,234,4
74,667,435,1
74,860,460,3
74,1158,443,2
74,1664,902,1
75,24,197,3
75,245,1548,1
75,463,1353,2
75,622,136,3
75,802,1457,2
75,989,199,3
75,1589,1458,3
75,1806,367,2
76,263,1899,1
76,614,1455,1
76,873,298,1
76,1108,1292,1
76,1141,1349,1
76,1524,1252,1
76,1799,1270,2
77,116,1977,1
77,557,1267,1
77,838,1309,1
77,1079,937,1
77,1211,1446,1
77,1583,1359,1
77,1756,1899,1
77,1960,1749,1
78,263,1366,1
78,568,1090,5
78,764,1415,1
78,1085,849,4
78,1211,1976,4
78,1533,1277,1
78,1775,10,3
79,25,592,1
79,275,1909,3
79,851,1250,5
79,1140,1894,4
79,1483,698,1
79,1659,795,5
79,1756,7,1
79,1941,1966,1
80,335,558,3
80,538,778,2
80,646,1378,3
80,810,197,1
80,999,1299,1
80,1146,1384,2
80,1764,1452,1
81,1,649,1
81,224,31,3
81,413,214,1
81,560,17,4
81,828,1341,1
81,930,448,3
81,1171,1666,3
81,1829,155,3
82,409,1368,3
82,737,1905,1
82,1088,1900,3
82,1203,1406,4
82,1610,1292,2
82,1828,341,1
82,1940,1418,1
83,85,1281,1
83,426,1455,4
83,718,1433,1
83,1057,1336,2
83,1163,1345,2
83,1597,1307,2
83,1739,1392,2
83,1871,1286,1
84,112,842,2
84,246,1548,5
84,511,1458,2
84,687,420,3
84,787,1428,5
84,1009,196,4
84,1818,1287,4
85,22,102,4
85,211,1329,5
85,444,1388,3
85,664,239,5
85,812,283,1
